stem_id,folder,filename,sitename,work_path,fps,shot_id,track_id,worker_key,frame_idx,timestamp_s,x1,y1,x2,y2,conf,blur_score,task,ScoreC,Confidence
1_VID_20231026_123736025,1_26102023_SiteA_Building1,VID_20231026_123736025.mp4,SiteA_Building1,data/videos/1_26102023_SiteA_Building1\VID_20231026_123736025.mp4,30.01056167115605,0,1,1_VID_20231026_123736025::1,70,2.3325121591202627,359.06414794921875,411.1839599609375,604.2958984375,1008.44287109375,0.8501147627830501,1044.1226840379086,DEM,4.0,0.76
1_VID_20231026_123736025,1_26102023_SiteA_Building1,VID_20231026_123736025.mp4,SiteA_Building1,data/videos/1_26102023_SiteA_Building1\VID_20231026_123736025.mp4,30.01056167115605,3,1,1_VID_20231026_123736025::1,249,8.297078966013506,379.2043762207031,534.4208984375,690.7518920898438,1083.89892578125,0.898303627967834,990.3518479612966,DEM,7.0,0.64
1_VID_20231026_123736025,1_26102023_SiteA_Building1,VID_20231026_123736025.mp4,SiteA_Building1,data/videos/1_26102023_SiteA_Building1\VID_20231026_123736025.mp4,30.01056167115605,4,1,1_VID_20231026_123736025::1,382,12.728852068342006,465.65667724609375,596.9495849609375,768.3819580078125,1090.553466796875,0.9221446514129632,1016.6425125519528,DEM,7.0,0.58
1_VID_20231026_123736025,1_26102023_SiteA_Building1,VID_20231026_123736025.mp4,SiteA_Building1,data/videos/1_26102023_SiteA_Building1\VID_20231026_123736025.mp4,30.01056167115605,6,1,1_VID_20231026_123736025::1,461,15.361258647920588,333.75164794921875,478.0991516113281,666.3899536132812,1061.760986328125,0.9227132797241212,1031.8512751657686,DEM,7.0,0.66
1_VID_20231026_123736025,1_26102023_SiteA_Building1,VID_20231026_123736025.mp4,SiteA_Building1,data/videos/1_26102023_SiteA_Building1\VID_20231026_123736025.mp4,30.01056167115605,6,1,1_VID_20231026_123736025::1,551,18.360202852503782,378.1440124511719,464.0934753417969,641.8184204101562,1038.7840576171875,0.888035237789154,1033.040687994741,DEM,6.0,0.68
1_VID_20231026_123736025,1_26102023_SiteA_Building1,VID_20231026_123736025.mp4,SiteA_Building1,data/videos/1_26102023_SiteA_Building1\VID_20231026_123736025.mp4,30.01056167115605,6,1,1_VID_20231026_123736025::1,641,21.35914705708698,386.4225769042969,405.2165832519531,646.4810791015625,1012.6227416992188,0.9082953333854672,1022.3402726291118,DEM,2.0,0.75
1_VID_20231026_123736025,1_26102023_SiteA_Building1,VID_20231026_123736025.mp4,SiteA_Building1,data/videos/1_26102023_SiteA_Building1\VID_20231026_123736025.mp4,30.01056167115605,7,1,1_VID_20231026_123736025::1,770,25.65763375032289,224.134033203125,446.8658447265625,671.173095703125,1000.86328125,0.912908673286438,1071.6489491905952,DEM,5.0,0.61
1_VID_20231026_123736025,1_26102023_SiteA_Building1,VID_20231026_123736025.mp4,SiteA_Building1,data/videos/1_26102023_SiteA_Building1\VID_20231026_123736025.mp4,30.01056167115605,7,1,1_VID_20231026_123736025::1,860,28.656577954906084,252.32376098632807,454.2233581542969,697.3482055664062,987.2042846679688,0.903979241847991,1017.9411021634842,DEM,7.0,0.6
1_VID_20231026_123736025,1_26102023_SiteA_Building1,VID_20231026_123736025.mp4,SiteA_Building1,data/videos/1_26102023_SiteA_Building1\VID_20231026_123736025.mp4,30.01056167115605,11,1,1_VID_20231026_123736025::1,1141,38.01994819366029,389.753173828125,451.5977478027344,755.916015625,1010.6217041015624,0.9067185521125792,1070.754927996086,DEM,7.0,0.64
1_VID_20231026_123736025,1_26102023_SiteA_Building1,VID_20231026_123736025.mp4,SiteA_Building1,data/videos/1_26102023_SiteA_Building1\VID_20231026_123736025.mp4,30.01056167115605,11,2,1_VID_20231026_123736025::2,1143,38.08659139820658,125.19085693359376,266.9558410644531,334.5705261230469,1040.722900390625,0.90655893087387,1069.7680706672097,DEM,3.0,0.78
